incident_id,rule_id,incident_start,incident_end,where_line,where_jig,where_model,where_firmware,where_api_key,severity_expected
INC001,REMOTE_API,2022-09-13 09:00:00,2022-09-13 10:45:00,L2,,,,RKEY-00A57974F5,critical
INC002,FIRMWARE_BATCH,2022-09-13 09:00:00,2022-09-13 10:45:00,,,STB-100,v4.1.2,,critical
INC003,FIRMWARE_BATCH,2022-09-13 09:00:00,2022-09-13 10:45:00,,,STB-300,v4.1.2,,critical
INC004,JIG_STEP_CHRONIC,2022-09-13 09:15:00,2022-09-13 10:45:00,L2,JIG-L2-ST2-1,,,,critical
INC005,JIG_STEP_CHRONIC,2022-09-13 09:45:00,2022-09-13 10:30:00,L2,JIG-L2-ST2-2,,,,critical
INC006,CYCLE_TIME_DRIFT,2022-09-13 13:00:00,2022-09-13 22:15:00,,,,,,medium
INC007,MAC_DUPLICATE,2022-09-12 10:01:00,2022-09-12 11:48:00,L2,JIG-L2-ST1-2,,,,critical
INC008,MAC_DUPLICATE,2022-09-12 08:46:00,2022-09-14 07:04:00,L1,JIG-L1-ST2-1,,,,critical
INC009,MAC_DUPLICATE,2022-09-12 12:51:00,2022-09-13 07:30:00,L4,JIG-L3-ST2-1,,,,critical
INC010,MAC_DUPLICATE,2022-09-12 13:39:00,2022-09-14 16:40:00,L1,JIG-L1-ST2-1,,,,critical
INC011,MAC_DUPLICATE,2022-09-12 14:36:00,2022-09-13 15:43:00,L1,JIG-L1-ST2-1,,,,critical
INC012,MAC_DUPLICATE,2022-09-13 21:32:00,2022-09-14 06:03:00,L1,JIG-L1-ST1-1,,,,critical
