alert_id,created_at,rule_id,rule_name,window_start,window_end,severity,status,review_required,what,where_line,where_station,where_jig,where_model,where_firmware,where_api_key,related_line_stop_category,related_line_stop_reason,evidence,suggested_action,total_attempts,failures,rate,baseline_rate,ppm,baseline_ppm,is_systematic
ALERT-81a0ac394559,2026-07-03T04:39:06.178300+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:00:00,2022-09-13T09:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,Unplanned,Remote recording auth/firmware server unavailable,55 falhas remotas em 58 tentativas; taxa 94.83%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",58,55,0.9482758620689655,0.1489971346704871,948275.8620689656,148997.1346704871,True
ALERT-ea9093d85255,2026-07-03T04:39:06.188300+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:00:00,2022-09-13T09:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-100,v4.1.2,,Unplanned; Planned,Remote recording auth/firmware server unavailable; Material shortage (trays); Shift handover,24 falhas em 63 tentativas; PPM 380952; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",63,24,0.38095238095238093,0.09720125420973173,380952.38095238095,97201.25420973173,True
ALERT-28120ee5e7b9,2026-07-03T04:39:06.204300+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:00:00,2022-09-13T09:30:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,Unplanned; Planned,Remote recording auth/firmware server unavailable; Material shortage (trays); Shift handover,15 falhas em 48 tentativas; PPM 312500; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",48,15,0.3125,0.09720125420973173,312500.0,97201.25420973173,True
ALERT-2003f573a53e,2026-07-03T04:39:06.257813+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-1,,,,Unplanned,Remote recording auth/firmware server unavailable,19 falhas em 20 tentativas; taxa 95.00%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",20,19,0.95,0.1286707016364044,950000.0,128670.7016364044,True
ALERT-c2940c58c6ff,2026-07-03T04:39:06.272815+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,Unplanned,Remote recording auth/firmware server unavailable,57 falhas remotas em 62 tentativas; taxa 91.94%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",62,57,0.9193548387096774,0.1489971346704871,919354.8387096773,148997.1346704871,True
ALERT-4028d95903d3,2026-07-03T04:39:06.283323+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-100,v4.1.2,,Unplanned; Planned,Remote recording auth/firmware server unavailable; Material shortage (trays); Shift handover,21 falhas em 60 tentativas; PPM 350000; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",60,21,0.35,0.09720125420973173,350000.0,97201.25420973173,True
ALERT-6a56ac3f4178,2026-07-03T04:39:06.295999+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,Unplanned; Planned,Remote recording auth/firmware server unavailable; Material shortage (trays); Shift handover,18 falhas em 47 tentativas; PPM 382979; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",47,18,0.3829787234042553,0.09720125420973173,382978.7234042553,97201.25420973173,True
ALERT-58e0dfec20d9,2026-07-03T04:39:06.353653+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:30:00,2022-09-13T10:00:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,Unplanned,Remote recording auth/firmware server unavailable,61 falhas remotas em 68 tentativas; taxa 89.71%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",68,61,0.8970588235294118,0.1489971346704871,897058.8235294118,148997.1346704871,True
ALERT-138842fda9e6,2026-07-03T04:39:06.364652+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:30:00,2022-09-13T10:00:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-100,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,20 falhas em 64 tentativas; PPM 312500; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",64,20,0.3125,0.09720125420973173,312500.0,97201.25420973173,True
ALERT-3ac282e98535,2026-07-03T04:39:06.370653+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T09:30:00,2022-09-13T10:00:00,critical,PENDING_REVIEW,True,fw_download / ERR_AUTH,,,,STB-200,v4.1.2,,Unplanned,Remote recording auth/firmware server unavailable,15 falhas em 48 tentativas; PPM 312500; limite 291604,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",48,15,0.3125,0.09720125420973173,312500.0,97201.25420973173,True
